race_name,race_date,total_records,expected_total,is_matching,missing_percentage
Airtel Hyderabad Marathon 2012,2012,1732,1602,No,-8.11%
Airtel Hyderabad Marathon 2013,2013,3115,2289,No,-36.09%
Airtel Hyderabad Marathon 2014,2014,5754,6013,No,4.31%
Airtel Hyderabad Marathon 2015,2015,102,6140,No,98.34%
Airtel Hyderabad Marathon 2016,2016,65,7993,No,99.19%
Airtel Hyderabad Marathon 2017,2017,66,9243,No,99.29%
Airtel Hyderabad Marathon 2018,2018,69,10090,No,99.32%
Airtel Hyderabad Marathon 2019,2019,85,10952,No,99.22%
Airtel Hyderabad Marathon 2021,2021,3827,4066,No,5.88%
Hans Hyderabad Marathon 2023,2023,724,724,Yes,0.0%
IDBI Federal Life Insurance New Delhi Marathon 2016,2016,2386,2237,No,-6.66%
IDBI Federal Life Insurance New Delhi Marathon 2017,2017,4095,3898,No,-5.05%
IDBI Federal Life Insurance New Delhi Marathon 2018,2018,8544,5935,No,-43.96%
IDBI Federal Life Insurance New Delhi Marathon 2019,2019,6711,6505,No,-3.17%
Ladakh Marathon 2013,2013,682,428,No,-59.35%
Ladakh Marathon 2014,2014,925,831,No,-11.31%
Ladakh Marathon 2015,2015,1203,1096,No,-9.76%
Ladakh Marathon 2016,2016,1339,1339,Yes,0.0%
Ladakh Marathon 2017,2017,1440,1322,No,-8.93%
Ladakh Marathon 2018,2018,1856,1615,No,-14.92%
Ladakh Marathon 2019,2019,1737,1582,No,-9.8%
NMDC Hyderabad Marathon 2022,2022,7054,7055,No,0.01%
SKF GOA RIVER MARATHON 2023,2023,1932,1931,No,-0.05%
SKF Goa River Marathon 2021,2021,1489,1489,Yes,0.0%
SKF Goa River Marathon 2022,2022,1948,1948,Yes,0.0%
